trip_id,departure_time,stop_sequence,arrival_time,timepoint,stop_id
1004009,15.49.00,13,15.49.00,0,16
1004009,15.51.00,14,15.51.00,0,15
1004009,15.55.00,15,15.55.00,0,14
1004009,15.57.00,16,15.57.00,0,13
1004009,15.58.00,17,15.58.00,0,12
1004009,16.00.00,18,16.00.00,0,11
1004009,16.02.00,19,16.02.00,0,10
1004009,16.05.00,20,16.05.00,0,9
1004009,16.09.00,21,16.09.00,0,8
1004009,16.13.00,22,16.13.00,0,7
1004009,16.15.00,23,16.15.00,0,6
1004009,16.19.00,24,16.19.00,0,5
1004009,16.23.00,25,16.23.00,0,4
1004009,16.25.00,26,16.25.00,0,3
1004009,16.27.00,27,16.27.00,0,2
1004009,16.34.00,28,16.34.00,0,1
1004010,16.40.00,1,16.40.00,0,1
1004010,16.47.00,2,16.47.00,0,2
1004010,16.49.00,3,16.49.00,0,3
1004010,16.51.00,4,16.51.00,0,4
1004010,16.55.00,5,16.55.00,0,5
1004010,16.59.00,6,16.59.00,0,6
1004010,17.01.00,7,17.01.00,0,7
1004010,17.05.00,8,17.05.00,0,8
1004010,17.09.00,9,17.09.00,0,9
1004010,17.12.00,10,17.12.00,0,10
1004010,17.14.00,11,17.14.00,0,11
1004010,17.16.00,12,17.16.00,0,12
1004010,17.17.00,13,17.17.00,0,13
1004010,17.19.00,14,17.19.00,0,14
1004010,17.23.00,15,17.23.00,0,15
1004010,17.25.00,16,17.25.00,0,16
1004010,17.27.00,17,17.27.00,0,17
1004010,17.28.00,18,17.28.00,0,18
1004010,17.29.00,19,17.29.00,0,19
1004010,17.31.00,20,17.31.00,0,20
1004010,17.33.00,21,17.33.00,0,21
1004010,17.35.00,22,17.35.00,0,22
1004010,17.39.00,23,17.39.00,0,23
1004010,17.42.00,24,17.42.00,0,24
1004010,17.45.00,25,17.45.00,0,25
1004010,17.47.00,26,17.47.00,0,26
1004010,17.51.00,27,17.51.00,0,27
1004010,17.54.00,28,17.54.00,0,28
1004011,18.00.00,1,18.00.00,0,28
1004011,18.03.00,2,18.03.00,0,27
1004011,18.07.00,3,18.07.00,0,26
1004011,18.09.00,4,18.09.00,0,25
1004011,18.12.00,5,18.12.00,0,24
1004011,18.15.00,6,18.15.00,0,23
1004011,18.19.00,7,18.19.00,0,22
1004011,18.21.00,8,18.21.00,0,21
1004011,18.23.00,9,18.23.00,0,20
1004011,18.25.00,10,18.25.00,0,19
1004011,18.26.00,11,18.26.00,0,18
1004011,18.27.00,12,18.27.00,0,17
1004011,18.29.00,13,18.29.00,0,16
1004011,18.31.00,14,18.31.00,0,15
1004011,18.35.00,15,18.35.00,0,14
1004011,18.37.00,16,18.37.00,0,13
1004011,18.38.00,17,18.38.00,0,12
1004011,18.40.00,18,18.40.00,0,11
